Regions,Cells,Neurons,Glia,Excitatory,Inhibitory,Modulatory,Astrocytes,Oligodendrocytes,Microglia
Accessory olfactory bulb glomerular layer,24392,15353,9039,11638,3586,129,3550,3084,2405
Accessory olfactory bulb granular layer,80458,64015,16443,60190,3701,124,2116,8943,5384
Accessory olfactory bulb mitral layer,33332,22204,11128,19144,2941,119,3073,4499,3556
Anterior olfactory nucleus,562484,289487,272997,261359,26824,1304,39513,222014,11470
Anterior olfactory nucleus dorsal part,52518,28481,24037,27362,1015,104,1495,22289,253
Anterior olfactory nucleus external part,53849,28310,25539,26347,1837,126,3937,20724,878
Anterior olfactory nucleus lateral part,124338,72656,51682,67830,4550,276,7357,41065,3260
Anterior olfactory nucleus medial part,107062,52161,54901,48314,3524,323,7682,47184,35
Anterior olfactory nucleus posteroventral part,93595,43241,50354,39587,3334,320,5101,41410,3843
Anterior olfactory nucleus layer 1,105813,52594,53219,41435,11044,115,11796,38557,2866
Taenia tecta,230142,133213,96929,116418,15924,871,18235,64583,14111
Taenia tecta dorsal part,175221,101787,73434,90626,10429,732,12836,46902,13696
Taenia tecta dorsal part layer 1,32952,18423,14529,14762,3547,114,3034,6516,4979
Taenia tecta dorsal part layer 2,77461,48832,28629,45639,2874,319,4478,18677,5474
Taenia tecta dorsal part layer 3,47135,25447,21688,23674,1557,216,3485,15422,2781
Taenia tecta dorsal part layer 4,17673,9085,8588,6551,2451,83,1839,6287,462
Taenia tecta ventral part,54921,31426,23495,25792,5495,139,5399,17681,415
Taenia tecta ventral part layer 1,17775,9837,7938,8162,1642,33,2234,5340,364
Taenia tecta ventral part layer 2,28484,17056,11428,13435,3558,63,2261,9116,51
Taenia tecta ventral part layer 3,8662,4533,4129,4195,295,43,904,3225,0
Dorsal peduncular area,41013,22301,18712,19628,2422,251,2701,12138,3873
Dorsal peduncular area layer 1,6578,3662,2916,3046,590,26,384,604,1928
Dorsal peduncular area layer 2/3,14773,8467,6306,8134,232,101,883,3677,1746
Dorsal peduncular area layer 5,14606,7569,7037,6773,695,101,931,5908,198
Dorsal peduncular area layer 6a,5056,2603,2453,1675,905,23,503,1949,1
Piriform area,1823901,1126032,697869,1091399,31962,2671,108813,449265,139791
Piriform area molecular layer,358266,208274,149992,199323,8749,202,35207,75532,39253
Piriform area pyramidal layer,918122,636884,281238,628776,7207,901,50173,171482,59583
Piriform area polymorph layer,547513,280874,266639,263300,16006,1568,23433,202251,40955
Nucleus of the lateral olfactory tract,54544,32228,22316,22985,8962,281,6142,16174,0
Nucleus of the lateral olfactory tract molecular layer,15153,8768,6385,6339,2409,20,2403,3982,0
Nucleus of the lateral olfactory tract pyramidal layer,24844,15098,9746,10145,4826,127,2512,7234,0
Nucleus of the lateral olfactory tract layer 3,14547,8362,6185,6501,1727,134,1227,4958,0
Cortical amygdalar area,398144,274658,123486,254534,19492,632,50932,54820,17734
Cortical amygdalar area anterior part,71513,45208,26305,35105,9852,251,7609,18665,31
Cortical amygdalar area anterior part layer 1,23770,15195,8575,11079,4096,20,3256,5292,27
Cortical amygdalar area anterior part layer 2,47743,30013,17730,24026,5756,231,4353,13373,4
Cortical amygdalar area posterior part,326631,229450,97181,219429,9640,381,43323,36155,17703
Cortical amygdalar area posterior part lateral zone,159204,107332,51872,100292,6792,248,19649,21735,10488
Cortical amygdalar area posterior part lateral zone layer 1,24347,15978,8369,13262,2709,7,4237,2247,1885
Cortical amygdalar area posterior part lateral zone layer 2,59600,41420,18180,38206,3092,122,7272,7453,3455
Cortical amygdalar area posterior part lateral zone layer 3,75257,49934,25323,48824,991,119,8140,12035,5148
Cortical amygdalar area posterior part medial zone,167427,122118,45309,119137,2848,133,23674,14420,7215
Cortical amygdalar area posterior part medial zone layer 1,23872,17616,6256,16916,696,4,3906,1376,974
Cortical amygdalar area posterior part medial zone layer 2,44740,33712,11028,32723,964,25,6554,2612,1862
Cortical amygdalar area posterior part medial zone layer 3,98815,70790,28025,69498,1188,104,13214,10432,4379
Piriform-amygdalar area,82149,52327,29822,48450,3794,83,8605,8878,12339
Piriform-amygdalar area molecular layer,17009,9797,7212,8556,1236,5,2877,1797,2538
